FEATURE_ID	FEATURE_NAME	CHR	START	END	Islet	Muscle	Adipose	Liver
ENSG00000159733	ZFYVE28	chr4	2271309	2420390	0.352258446475535	0.0763948793463042	0.428496925236641	0.14284974894152
ENSG00000125409	TEKT3	chr17	15207128	15244958	0.341235189074687	0.0673563591303391	0.540857168286652	0.050551283508322
ENSG00000140575	IQGAP1	chr15	90931450	91045475	0.371998411101553	0.0974006242340218	0.509597186940088	0.0210037777243369
ENSG00000106992	AK1	chr9	130628759	130640022	0.0124619166213921	0.74847785320021	0.162525801406082	0.0765344287723156
ENSG00000167074	TEF	chr22	41763337	41795330	0.270355349427999	0.249623242761436	0.350084689794169	0.129936718016396
ENSG00000143479	DYRK3	chr1	206808881	206857764	0.763231478623331	0.0165146652635622	0.170137536537868	0.0501163195752387
ENSG00000119514	GALNT12	chr9	101569981	101612363	0.738085474615868	0.00950120602579897	0.247068195072427	0.00534512428590638
ENSG00000108510	MED13	chr17	60019966	60142643	0.399350757716665	0.214956019170336	0.290964681589345	0.0947285415236539
ENSG00000206052	DOK6	chr18	67068291	67516323	0.260138379485309	0.0377295379450482	0.559469215088166	0.142662867481476
ENSG00000234602	MCIDAS	chr5	54515442	54523143	1	0	0	0
ENSG00000085832	EPS15	chr1	51819935	51985000	0.266356598175714	0.218917841281387	0.436236177440614	0.0784893831022847
ENSG00000121690	DEPDC7	chr11	33037410	33055128	0.0396678760928968	0.0719462156661291	0.0271124754399906	0.861273432800984
ENSG00000081842	PCDHA6	chr5	140207563	140210070	0.92589728374568	0	0.0741027162543195	0
ENSG00000149781	FERMT3	chr11	63974150	63991270	0.120273534364156	0.0585338402264131	0.716701605460266	0.104491019949166
ENSG00000039560	RAI14	chr5	34656342	34832732	0.428218504754765	0.0220243586626663	0.365633063813481	0.184124072769089
ENSG00000173404	INSM1	chr20	20348765	20351590	0.997123443390631	0.000258820858442598	0.0026177357509266	0
ENSG00000101745	ANKRD12	chr18	9136758	9285983	0.570118876546409	0.0988669006044855	0.258710778450831	0.0723034443982744
ENSG00000162032	SPSB3	chr16	1826713	1832821	0.0136859011897884	0.2882304930852	0.469125333395074	0.228958272329937
ENSG00000111775	COX6A1	chr12	120875893	120878545	0.209049673154574	0.0278362252248377	0.417015690350914	0.346098411269674
ENSG00000167881	SRP68	chr17	74035184	74068734	0.308949607026935	0.277619311158968	0.309632082028908	0.103798999785189
ENSG00000169957	ZNF768	chr16	30535325	30538142	0.208138755678755	0.358451413626751	0.287046628761282	0.146363201933211
ENSG00000135709	KIAA0513	chr16	85061375	85127836	0.544882209256567	0.240555065297122	0.168043280699891	0.0465194447464201
ENSG00000197372	ZNF675	chr19	23708433	23870022	0.514655187354003	0.0485253933491363	0.362188859286385	0.0746305600104761
ENSG00000181555	SETD2	chr3	47057919	47205457	0.304173846714139	0.212710111905711	0.373844063283026	0.109271978097124
ENSG00000214940	NPIPA8	chr16	18411799	18433817	0.210928510660932	0.209100630105739	0.436103968036143	0.143866891197187
ENSG00000112195	TREML2	chr6	41158015	41168932	0.0989031033773056	0.108936125521462	0.450828516475117	0.341332254626115
ENSG00000137312	FLOT1	chr6	30695486	30710510	0.248246209995496	0.196224835838379	0.414165347437067	0.141363606729059
ENSG00000139579	NABP2	chr12	56615799	56623638	0.263961409879249	0.282153895905263	0.337944261909938	0.115940432305551
ENSG00000105677	TMEM147	chr19	36036497	36038428	0.284182606424487	0.247607064945402	0.353984209562614	0.114226119067497
ENSG00000172071	EIF2AK3	chr2	88856259	88927056	0.557033151942784	0.0798642276951021	0.254362708406112	0.108739911956002
ENSG00000176148	TCP11L1	chr11	33060963	33127489	0.462089465968573	0.0743705445783575	0.3777257284006	0.0858142610524687
ENSG00000215529	EFCAB8	chr20	31446729	31549006	0.576573137393505	0.0731899148879504	0.257758632340439	0.0924783153781054
ENSG00000187741	FANCA	chr16	89803957	89883065	0.222784764602086	0.0487116834763954	0.343739799326292	0.384763752595227
ENSG00000178096	BOLA1	chr1	149859467	149872351	0.285854254895485	0.185311005792918	0.331007223462179	0.197827515849418
ENSG00000138686	BBS7	chr4	122745595	122791652	0.302524286207523	0.104293978191145	0.543989584170181	0.0491921514311506
ENSG00000188636	LDOC1L	chr22	44888452	44894178	0.494768681545528	0.205757157499329	0.265710036148652	0.0337641248064906
ENSG00000172613	RAD9A	chr11	67159176	67165653	0.294445943087439	0.090517329314502	0.388734909408593	0.226301818189466
ENSG00000189430	NCR1	chr19	55417508	55427508	0	0.0399305755954895	0.386958519750032	0.573110904654478
ENSG00000197779	ZNF81	chrX	47696301	47861960	0.352282057785604	0.158646735198374	0.371910430939784	0.117160776076239
ENSG00000099991	CABIN1	chr22	24407642	24574596	0.257169789243718	0.131508732064357	0.464073379891961	0.147248098799964
ENSG00000115414	FN1	chr2	216225163	216300895	0.10249934354359	0.0295893943576067	0.40129354570876	0.466617716390044
ENSG00000128274	A4GALT	chr22	43088127	43117304	0.197243919113493	0.102213217592192	0.686680426174902	0.0138624371194133
ENSG00000268130	AL137002.1	chr13	113755563	113756608	1	0	0	0
ENSG00000135686	KLHL36	chr16	84682131	84695920	0.693158177205535	0.0373409462105347	0.182633520631529	0.0868673559524012
ENSG00000144867	SRPRB	chr3	133502877	133540336	0.459212789594683	0.103409513434028	0.203324738376878	0.234052958594412
ENSG00000053770	AP5M1	chr14	57735727	57756797	0.390654842327337	0.195007074390121	0.280426316350588	0.133911766931953
ENSG00000128805	ARHGAP22	chr10	49654077	49864310	0.503687987856185	0.115669163143068	0.342380170524019	0.0382626784767292
ENSG00000120913	PDLIM2	chr8	22435792	22455538	0.138782063092976	0.28198891777493	0.394154546010335	0.185074473121759
ENSG00000239732	TLR9	chr3	52255096	52260179	0.0188028991539743	0.40210724353775	0.481761442164523	0.0973284151437534
ENSG00000177324	BEND2	chrX	18181051	18239024	0	1	0	0
